,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU12_r,clip_id,label,source_id,appraisal
64,0.0,0.0,0.0,0.0,1.38,0.34,0.2,1.28,Art6_S2,1,Art6,Appreciation
65,0.0,0.0,0.0,0.0,1.58,0.27,0.33,1.48,Art6_S2,1,Art6,Appreciation
66,0.0,0.0,0.0,0.0,1.62,0.5,0.41,1.62,Art6_S2,1,Art6,Appreciation
67,0.0,0.0,0.0,0.0,1.74,0.55,0.45,1.74,Art6_S2,1,Art6,Appreciation
68,0.0,0.0,0.0,0.0,1.79,0.68,0.44,1.75,Art6_S2,1,Art6,Appreciation
69,0.0,0.0,0.0,0.0,1.85,0.51,0.4,1.79,Art6_S2,1,Art6,Appreciation
70,0.0,0.0,0.0,0.0,1.83,0.46,0.31,1.83,Art6_S2,1,Art6,Appreciation
71,0.0,0.0,0.0,0.0,1.85,0.37,0.27,1.85,Art6_S2,1,Art6,Appreciation
72,0.0,0.0,0.0,0.0,1.8,0.4,0.23,1.79,Art6_S2,1,Art6,Appreciation
73,0.0,0.0,0.0,0.0,1.7,0.42,0.16,1.69,Art6_S2,1,Art6,Appreciation
74,0.0,0.0,0.0,0.0,1.58,0.26,0.07,1.56,Art6_S2,1,Art6,Appreciation
75,0.0,0.0,0.0,0.0,1.5,0.12,0.0,1.5,Art6_S2,1,Art6,Appreciation
76,0.0,0.0,0.0,0.0,1.36,0.01,0.01,1.21,Art6_S2,1,Art6,Appreciation
77,0.32,0.27,0.0,0.02,1.08,0.01,0.01,0.75,Art6_S2,1,Art6,Appreciation
78,0.67,0.45,0.0,0.02,0.78,0.0,0.01,0.24,Art6_S2,1,Art6,Appreciation
79,1.06,0.87,0.0,0.1,0.52,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
80,1.03,0.94,0.0,0.17,0.41,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
81,1.07,1.25,0.0,0.17,0.44,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
82,1.18,1.07,0.0,0.1,0.55,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
83,1.14,0.72,0.0,0.0,0.77,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
84,0.75,0.23,0.0,0.0,0.93,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
85,0.46,0.0,0.0,0.0,1.02,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
86,0.21,0.0,0.0,0.0,1.04,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
87,0.21,0.0,0.01,0.0,1.04,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
88,0.0,0.0,0.01,0.0,1.13,0.03,0.0,0.0,Art6_S2,1,Art6,Appreciation
89,0.04,0.01,0.04,0.0,1.28,0.19,0.0,0.0,Art6_S2,1,Art6,Appreciation
90,0.09,0.05,0.1,0.0,1.46,0.41,0.0,0.0,Art6_S2,1,Art6,Appreciation
91,0.09,0.05,0.2,0.0,1.57,0.64,0.0,0.0,Art6_S2,1,Art6,Appreciation
92,0.05,0.04,0.3,0.0,1.62,0.74,0.0,0.0,Art6_S2,1,Art6,Appreciation
93,0.08,0.08,0.4,0.0,1.61,0.99,0.0,0.0,Art6_S2,1,Art6,Appreciation
94,0.09,0.28,0.48,0.0,1.54,1.27,0.0,0.0,Art6_S2,1,Art6,Appreciation
95,0.13,0.41,0.51,0.0,1.45,1.53,0.0,0.0,Art6_S2,1,Art6,Appreciation
96,0.08,0.5,0.32,0.0,1.39,1.56,0.0,0.0,Art6_S2,1,Art6,Appreciation
97,0.12,0.38,0.2,0.0,1.33,1.62,0.0,0.0,Art6_S2,1,Art6,Appreciation
98,0.09,0.43,0.2,0.0,1.31,1.7,0.0,0.0,Art6_S2,1,Art6,Appreciation
99,0.22,0.51,0.37,0.0,1.33,1.88,0.0,0.0,Art6_S2,1,Art6,Appreciation
100,0.3,0.69,0.49,0.0,1.43,2.04,0.0,0.0,Art6_S2,1,Art6,Appreciation
101,0.46,0.92,0.55,0.0,1.5,2.29,0.0,0.0,Art6_S2,1,Art6,Appreciation
102,0.55,1.19,0.77,0.0,1.34,2.27,0.0,0.0,Art6_S2,1,Art6,Appreciation
103,0.93,1.72,1.16,0.0,1.24,2.41,0.0,0.0,Art6_S2,1,Art6,Appreciation
104,1.28,2.0,1.49,0.0,1.16,2.44,0.0,0.0,Art6_S2,1,Art6,Appreciation
105,1.57,2.36,1.57,0.0,1.24,2.49,0.0,0.0,Art6_S2,1,Art6,Appreciation
106,1.32,2.35,1.43,0.0,1.32,2.56,0.0,0.0,Art6_S2,1,Art6,Appreciation
107,1.3,2.64,1.37,0.0,1.33,2.63,0.0,0.0,Art6_S2,1,Art6,Appreciation
108,0.75,2.12,1.0,0.05,1.2,2.25,0.0,0.0,Art6_S2,1,Art6,Appreciation
110,0.0,0.89,0.98,0.05,1.06,0.56,0.0,0.0,Art6_S2,1,Art6,Appreciation
111,0.0,0.76,1.25,0.0,1.23,0.22,0.0,0.0,Art6_S2,1,Art6,Appreciation
112,0.0,0.88,1.17,0.0,1.25,0.36,0.0,0.0,Art6_S2,1,Art6,Appreciation
113,0.0,0.7,1.17,0.0,1.07,0.79,0.0,0.0,Art6_S2,1,Art6,Appreciation
114,0.0,0.47,1.26,0.0,0.78,1.11,0.0,0.0,Art6_S2,1,Art6,Appreciation
115,0.0,0.06,1.22,0.0,0.56,1.21,0.0,0.0,Art6_S2,1,Art6,Appreciation
116,0.0,0.0,1.11,0.0,0.47,1.22,0.0,0.0,Art6_S2,1,Art6,Appreciation
117,0.0,0.0,0.93,0.0,0.39,1.21,0.0,0.0,Art6_S2,1,Art6,Appreciation
118,0.0,0.0,0.63,0.0,0.27,1.14,0.0,0.0,Art6_S2,1,Art6,Appreciation
119,0.0,0.0,0.37,0.05,0.21,0.83,0.0,0.0,Art6_S2,1,Art6,Appreciation
120,0.0,0.0,0.11,0.05,0.3,0.63,0.0,0.0,Art6_S2,1,Art6,Appreciation
121,0.0,0.0,0.12,0.05,0.53,0.39,0.0,0.0,Art6_S2,1,Art6,Appreciation
122,0.0,0.0,0.2,0.0,0.75,0.28,0.0,0.0,Art6_S2,1,Art6,Appreciation
123,0.0,0.0,0.17,0.0,0.93,0.35,0.0,0.0,Art6_S2,1,Art6,Appreciation
124,0.0,0.0,0.13,0.0,1.02,0.4,0.0,0.0,Art6_S2,1,Art6,Appreciation
125,0.0,0.0,0.0,0.04,1.19,0.8,0.0,0.0,Art6_S2,1,Art6,Appreciation
126,0.0,0.0,0.0,0.1,1.39,0.96,0.0,0.0,Art6_S2,1,Art6,Appreciation
127,0.0,0.0,0.0,0.1,1.52,0.93,0.0,0.0,Art6_S2,1,Art6,Appreciation
128,0.0,0.0,0.0,0.06,1.59,0.78,0.0,0.0,Art6_S2,1,Art6,Appreciation
129,0.0,0.0,0.0,0.02,1.48,0.52,0.0,0.0,Art6_S2,1,Art6,Appreciation
130,0.11,0.04,0.0,0.02,1.31,0.34,0.0,0.0,Art6_S2,1,Art6,Appreciation
131,0.11,0.04,0.0,0.02,1.07,0.07,0.0,0.0,Art6_S2,1,Art6,Appreciation
132,0.11,0.07,0.0,0.0,0.92,0.19,0.0,0.0,Art6_S2,1,Art6,Appreciation
133,0.0,0.05,0.0,0.0,0.89,0.2,0.0,0.0,Art6_S2,1,Art6,Appreciation
134,0.0,0.05,0.06,0.0,0.7,0.28,0.0,0.0,Art6_S2,1,Art6,Appreciation
135,0.0,0.03,0.18,0.0,0.54,0.33,0.0,0.0,Art6_S2,1,Art6,Appreciation
136,0.0,0.0,0.2,0.0,0.36,0.44,0.0,0.0,Art6_S2,1,Art6,Appreciation
137,0.05,0.0,0.14,0.0,0.29,0.36,0.0,0.0,Art6_S2,1,Art6,Appreciation
138,0.05,0.0,0.03,0.0,0.17,0.13,0.0,0.0,Art6_S2,1,Art6,Appreciation
139,0.07,0.0,0.0,0.0,0.08,0.01,0.0,0.0,Art6_S2,1,Art6,Appreciation
140,0.02,0.0,0.0,0.0,0.09,0.05,0.0,0.0,Art6_S2,1,Art6,Appreciation
141,0.05,0.0,0.0,0.0,0.17,0.13,0.0,0.0,Art6_S2,1,Art6,Appreciation
142,0.14,0.02,0.0,0.0,0.27,0.16,0.0,0.0,Art6_S2,1,Art6,Appreciation
143,0.2,0.16,0.0,0.0,0.34,0.14,0.0,0.0,Art6_S2,1,Art6,Appreciation
144,0.22,0.25,0.0,0.0,0.27,0.06,0.09,0.0,Art6_S2,1,Art6,Appreciation
145,0.12,0.22,0.0,0.0,0.24,0.13,0.16,0.0,Art6_S2,1,Art6,Appreciation
146,0.06,0.09,0.0,0.0,0.16,0.2,0.16,0.0,Art6_S2,1,Art6,Appreciation
147,0.0,0.0,0.0,0.0,0.26,0.24,0.07,0.0,Art6_S2,1,Art6,Appreciation
148,0.0,0.0,0.0,0.0,0.18,0.28,0.08,0.0,Art6_S2,1,Art6,Appreciation
149,0.0,0.0,0.0,0.0,0.13,0.36,0.13,0.0,Art6_S2,1,Art6,Appreciation
150,0.0,0.0,0.01,0.0,0.01,0.47,0.15,0.0,Art6_S2,1,Art6,Appreciation
151,0.0,0.0,0.02,0.0,0.01,0.56,0.07,0.0,Art6_S2,1,Art6,Appreciation
152,0.0,0.0,0.02,0.0,0.0,0.63,0.05,0.0,Art6_S2,1,Art6,Appreciation
153,0.0,0.0,0.01,0.0,0.0,0.74,0.06,0.0,Art6_S2,1,Art6,Appreciation
154,0.0,0.0,0.08,0.0,0.0,0.58,0.17,0.0,Art6_S2,1,Art6,Appreciation
155,0.12,0.0,0.27,0.01,0.0,0.58,0.26,0.0,Art6_S2,1,Art6,Appreciation
156,0.16,0.0,0.42,0.05,0.0,0.53,0.33,0.0,Art6_S2,1,Art6,Appreciation
157,0.16,0.0,0.54,0.09,0.0,0.67,0.34,0.0,Art6_S2,1,Art6,Appreciation
158,0.05,0.0,0.5,0.26,0.0,0.56,0.35,0.0,Art6_S2,1,Art6,Appreciation
159,0.05,0.0,0.43,0.36,0.0,0.52,0.46,0.0,Art6_S2,1,Art6,Appreciation
160,0.14,0.0,0.35,0.41,0.0,0.32,0.53,0.0,Art6_S2,1,Art6,Appreciation
161,0.2,0.0,0.28,0.25,0.0,0.18,0.58,0.0,Art6_S2,1,Art6,Appreciation
162,0.19,0.0,0.33,0.39,0.0,0.01,0.59,0.0,Art6_S2,1,Art6,Appreciation
163,0.18,0.0,0.4,0.53,0.0,0.04,0.58,0.0,Art6_S2,1,Art6,Appreciation
164,0.21,0.0,0.52,0.72,0.0,0.04,0.57,0.0,Art6_S2,1,Art6,Appreciation
165,0.28,0.0,0.6,0.57,0.0,0.07,0.57,0.0,Art6_S2,1,Art6,Appreciation
166,0.29,0.0,0.64,0.55,0.0,0.03,0.61,0.0,Art6_S2,1,Art6,Appreciation
167,0.25,0.0,0.58,0.56,0.0,0.06,0.61,0.0,Art6_S2,1,Art6,Appreciation
168,0.18,0.0,0.42,0.66,0.0,0.08,0.5,0.0,Art6_S2,1,Art6,Appreciation
169,0.98,0.02,1.38,0.0,1.0,1.34,0.0,0.0,Art6_S32,1,Art6,Affect
170,1.13,0.01,1.14,0.0,1.15,1.65,0.0,0.0,Art6_S32,1,Art6,Affect
171,1.19,0.0,0.92,0.0,1.15,1.61,0.0,0.0,Art6_S32,1,Art6,Affect
172,1.16,0.0,0.65,0.0,1.21,1.63,0.0,0.0,Art6_S32,1,Art6,Affect
173,1.07,0.0,0.47,0.0,1.18,1.26,0.0,0.0,Art6_S32,1,Art6,Affect
174,0.95,0.0,0.39,0.0,1.35,1.29,0.0,0.0,Art6_S32,1,Art6,Affect
175,0.93,0.0,0.34,0.0,1.4,1.08,0.0,0.0,Art6_S32,1,Art6,Affect
176,0.7,0.0,0.34,0.0,1.39,1.13,0.0,0.0,Art6_S32,1,Art6,Affect
177,0.6,0.0,0.32,0.0,1.25,1.15,0.0,0.0,Art6_S32,1,Art6,Affect
178,0.37,0.0,0.4,0.0,1.11,1.03,0.0,0.0,Art6_S32,1,Art6,Affect
179,0.3,0.0,0.45,0.0,1.04,0.97,0.0,0.0,Art6_S32,1,Art6,Affect
180,0.13,0.0,0.58,0.0,0.96,0.67,0.0,0.0,Art6_S32,1,Art6,Affect
181,0.17,0.0,0.6,0.0,1.02,0.88,0.0,0.0,Art6_S32,1,Art6,Affect
182,0.11,0.0,0.67,0.0,1.1,0.77,0.0,0.0,Art6_S32,1,Art6,Affect
183,0.12,0.0,0.65,0.0,1.27,1.03,0.0,0.0,Art6_S32,1,Art6,Affect
184,0.04,0.0,0.7,0.0,1.35,0.95,0.0,0.0,Art6_S32,1,Art6,Affect
185,0.07,0.0,0.76,0.0,1.39,1.17,0.0,0.0,Art6_S32,1,Art6,Affect
186,0.06,0.0,0.75,0.0,1.43,1.14,0.0,0.0,Art6_S32,1,Art6,Affect
187,0.03,0.0,0.74,0.0,1.38,1.04,0.0,0.0,Art6_S32,1,Art6,Affect
188,0.0,0.0,0.6,0.0,1.29,0.98,0.0,0.0,Art6_S32,1,Art6,Affect
189,0.0,0.02,0.48,0.0,1.19,0.94,0.0,0.0,Art6_S32,1,Art6,Affect
190,0.0,0.02,0.26,0.0,1.04,0.81,0.0,0.0,Art6_S32,1,Art6,Affect
191,0.0,0.12,0.2,0.0,0.9,0.56,0.0,0.0,Art6_S32,1,Art6,Affect
192,0.0,0.19,0.26,0.0,0.83,0.67,0.09,0.0,Art6_S32,1,Art6,Affect
193,0.0,0.19,0.45,0.0,0.89,1.03,0.15,0.0,Art6_S32,1,Art6,Affect
194,0.0,0.09,0.57,0.0,1.01,1.65,0.38,0.0,Art6_S32,1,Art6,Affect
195,0.0,0.0,0.61,0.0,1.01,1.79,0.6,0.0,Art6_S32,1,Art6,Affect
196,0.0,0.0,0.54,0.0,1.02,1.89,0.6,0.0,Art6_S32,1,Art6,Affect
197,0.0,0.01,0.45,0.0,0.9,1.75,0.43,0.0,Art6_S32,1,Art6,Affect
198,0.0,0.04,0.29,0.0,0.85,1.83,0.13,0.0,Art6_S32,1,Art6,Affect
199,0.0,0.18,0.23,0.0,0.78,1.81,0.08,0.0,Art6_S32,1,Art6,Affect
200,0.02,0.36,0.16,0.0,0.77,1.84,0.11,0.0,Art6_S32,1,Art6,Affect
201,0.15,0.54,0.11,0.0,0.73,1.61,0.11,0.0,Art6_S32,1,Art6,Affect
202,0.5,0.9,0.04,0.0,0.65,1.6,0.18,0.0,Art6_S32,1,Art6,Affect
203,0.81,1.26,0.0,0.0,0.49,1.91,0.23,0.0,Art6_S32,1,Art6,Affect
204,0.82,1.41,0.0,0.0,0.37,2.32,0.38,0.0,Art6_S32,1,Art6,Affect
205,0.56,1.08,0.0,0.0,0.34,2.58,0.38,0.0,Art6_S32,1,Art6,Affect
206,0.46,0.64,0.0,0.0,0.29,2.49,0.31,0.0,Art6_S32,1,Art6,Affect
207,0.48,0.29,0.0,0.0,0.21,2.19,0.22,0.0,Art6_S32,1,Art6,Affect
208,0.64,0.11,0.0,0.07,0.14,1.74,0.21,0.0,Art6_S32,1,Art6,Affect
209,0.62,0.0,0.0,0.07,0.18,1.47,0.23,0.0,Art6_S32,1,Art6,Affect
210,0.81,0.0,0.0,0.16,0.19,1.4,0.36,0.0,Art6_S32,1,Art6,Affect
211,0.94,0.0,0.0,0.16,0.13,1.4,0.46,0.0,Art6_S32,1,Art6,Affect
212,1.22,0.0,0.0,0.21,0.05,1.39,0.51,0.0,Art6_S32,1,Art6,Affect
213,1.4,0.0,0.0,0.12,0.04,1.36,0.58,0.0,Art6_S32,1,Art6,Affect
214,1.54,0.0,0.0,0.05,0.02,1.46,0.61,0.0,Art6_S32,1,Art6,Affect
215,1.55,0.0,0.0,0.0,0.02,1.36,0.67,0.0,Art6_S32,1,Art6,Affect
216,1.53,0.0,0.06,0.0,0.03,1.42,0.74,0.0,Art6_S32,1,Art6,Affect
217,1.02,0.0,0.06,0.0,0.02,0.91,0.52,0.0,Art6_S32,1,Art6,Affect
226,0.0,0.0,0.32,0.0,0.05,0.55,0.06,0.0,Art6_S32,1,Art6,Affect
227,0.0,0.0,0.32,0.06,0.05,0.83,0.1,0.0,Art6_S32,1,Art6,Affect
228,0.0,0.0,0.16,0.06,0.0,0.73,0.14,0.0,Art6_S32,1,Art6,Affect
229,0.0,0.0,0.0,0.28,0.0,0.58,0.14,0.0,Art6_S32,1,Art6,Affect
230,0.0,0.0,0.0,0.36,0.0,0.53,0.1,0.0,Art6_S32,1,Art6,Affect
231,0.0,0.0,0.0,0.44,0.0,0.51,0.0,0.0,Art6_S32,1,Art6,Affect
232,0.0,0.0,0.0,0.36,0.0,0.42,0.0,0.0,Art6_S32,1,Art6,Affect
233,0.02,0.0,0.06,0.33,0.07,0.28,0.0,0.0,Art6_S32,1,Art6,Affect
234,0.02,0.04,0.06,0.44,0.22,0.25,0.0,0.03,Art6_S32,1,Art6,Affect
235,0.1,0.28,0.06,0.37,0.34,0.25,0.0,0.19,Art6_S32,1,Art6,Affect
236,0.12,0.3,0.0,0.39,0.31,0.23,0.0,0.43,Art6_S32,1,Art6,Affect
237,0.12,0.32,0.0,0.2,0.23,0.07,0.0,0.51,Art6_S32,1,Art6,Affect
238,0.16,0.23,0.0,0.19,0.26,0.07,0.0,0.38,Art6_S32,1,Art6,Affect
239,0.22,0.43,0.0,0.13,0.33,0.0,0.0,0.18,Art6_S32,1,Art6,Affect
240,0.32,0.53,0.0,0.34,0.38,0.0,0.0,0.07,Art6_S32,1,Art6,Affect
241,0.19,0.47,0.0,0.31,0.33,0.0,0.0,0.04,Art6_S32,1,Art6,Affect
242,0.1,0.29,0.0,0.29,0.31,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
243,0.0,0.13,0.0,0.07,0.24,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
244,0.0,0.05,0.0,0.03,0.16,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
245,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
246,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
247,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
248,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
249,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
250,0.0,0.0,0.02,0.0,0.11,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
251,0.0,0.0,0.05,0.0,0.22,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
252,0.0,0.0,0.07,0.0,0.32,0.03,0.0,0.0,Art6_S32,1,Art6,Affect
253,0.0,0.0,0.09,0.0,0.45,0.03,0.0,0.0,Art6_S32,1,Art6,Affect
254,0.0,0.0,0.12,0.0,0.49,0.03,0.0,0.0,Art6_S32,1,Art6,Affect
255,0.0,0.0,0.13,0.0,0.5,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
256,0.0,0.0,0.18,0.0,0.53,0.02,0.0,0.0,Art6_S32,1,Art6,Affect
257,0.0,0.0,0.11,0.0,0.56,0.02,0.0,0.0,Art6_S32,1,Art6,Affect
258,0.0,0.0,0.11,0.0,0.56,0.02,0.0,0.0,Art6_S32,1,Art6,Affect
259,0.0,0.0,0.14,0.0,0.55,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
260,0.0,0.0,0.21,0.0,0.58,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
261,0.0,0.0,0.28,0.0,0.65,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
262,0.0,0.0,0.31,0.0,0.66,0.08,0.0,0.0,Art6_S32,1,Art6,Affect
263,0.0,0.0,0.27,0.0,0.65,0.08,0.0,0.0,Art6_S32,1,Art6,Affect
264,0.0,0.0,0.22,0.0,0.6,0.08,0.0,0.0,Art6_S32,1,Art6,Affect
265,0.0,0.0,0.14,0.0,0.6,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
266,0.0,0.0,0.11,0.0,0.63,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
267,0.0,0.0,0.13,0.0,0.72,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
268,0.0,0.0,0.18,0.0,0.79,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
269,0.02,0.0,0.25,0.0,0.81,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
270,0.06,0.0,0.27,0.0,0.76,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
271,0.13,0.0,0.29,0.0,0.71,0.0,0.0,0.0,Art6_S32,1,Art6,Affect
285,0.2,1.07,0.98,0.0,0.0,0.15,0.38,0.0,Art6_S36,1,Art6,Affect
286,0.2,1.49,1.3,0.0,0.0,0.4,0.5,0.0,Art6_S36,1,Art6,Affect
